Aberdeen City,15
Aberdeenshire,25
Angus,15
Argyll and Bute,11
City of Edinburgh,49
,
Clackmannanshire,5
Dumfries and Galloway,11
Dundee City,22
East Ayrshire,13
East Dunbartonshire,20
,
East Lothian,9
East Renfrewshire,17
Falkirk,14
Fife,32
Glasgow City,53
,
Highland,10
Inverclyde,11
Midlothian,11
Moray,7
Na h-Eileanan Siar,2
,
North Ayrshire,26
North Lanarkshire,43
Orkney Islands,2
Perth and Kinross,19
Renfrewshire,29
,
Scottish Borders,7
Shetland Islands,3
South Ayrshire,14
South Lanarkshire,48
Stirling,11
,
West Dunbartonshire,14
West Lothian,23
